"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",1.46009399434518,0.502910075531074,1.97228377403847,0.25498869997866,0.798731826934085,NA
"A1BG",197.624663187205,-0.252156279998517,0.328197327336812,-0.768306926947464,0.442304860308594,0.605459055999798
"A1CF",40.6240560678451,0.304617820894846,0.738861773712939,0.412279849536776,0.680134316377242,0.797482983489905
"A2M",10990.232162607,0.519641207320641,0.380721401561409,1.36488572796143,0.172288968647293,0.32147386728976
"A2ML1",81.1519012829069,-0.368991839863527,0.37083311109164,-0.995034771240645,0.319719353263429,0.488384600070445
"A2MP1",50.2197819529279,1.31647910405599,0.868193827249142,1.51634239122297,0.129432797833322,0.263989418575962
"A3GALT2",0.495841465275867,0.924758699589103,3.4339400961022,0.269299601538996,0.787699138783854,NA
"A4GALT",779.469636944757,-2.25003368542419,0.557353768625914,-4.03699375886766,5.41405085821704e-05,0.000661930618874942
"A4GNT",5.74617641620069,1.28867630966,1.79690394357865,0.717164829130221,0.473272397970126,0.632690468865326
"AAAS",171.110617707173,-2.12869084586981,0.784070377516331,-2.71492318408046,0.00662911447620896,0.0300668666086294
"AACS",826.572083108544,-0.402739915469489,0.226113942940934,-1.78113702424222,0.0748900685843986,0.181151653221439
"AACSP1",25.4490032484527,0.533625033936834,1.00736260415462,0.529724879339404,0.596302695600096,0.734883456800193
"AADAC",2.47920461335247,3.21875948704269,2.1159298904233,1.52120327880938,0.128208832913043,NA
"AADACL2",46.6117845591094,0.462441682205356,1.12011067978837,0.412853560411306,0.679713907161782,0.797130666680319
"AADACL3",8.65255166901759,2.79989983746369,1.4257216606803,1.96384744279447,0.0495477863426787,0.135742417131997
"AADACL4",0,NA,NA,NA,NA,NA
"AADACP1",37.5551707048649,0.216573944001201,0.802434273520997,0.269896178600271,0.78724012715511,0.870920262108296
"AADAT",67.8689009436521,-0.758470544471383,0.518714979747335,-1.46221060521682,0.143683506358968,0.283429504678617
"AAGAB",557.04168743552,0.609210091319136,0.292655254250562,2.08166462918704,0.0373731135908243,0.111022424297891
"AAK1",2354.48632042862,0.967132841024532,0.285330407869937,3.38951900796141,0.000700153546598257,0.00516858268690589
"AAMDC",229.166713670189,-0.249100098267844,0.373026818466286,-0.667780668671568,0.504273608028415,0.658720615204308
"AAMP",386.521868437603,-2.7097756082922,0.612860454573404,-4.42152138887539,9.80083604325952e-06,0.000162849058222126
"AANAT",10.5480118011982,-0.34582837192236,1.337673489119,-0.258529734449716,0.795998103925793,0.876698330287452
"AAR2",470.689687269926,0.929230502599288,0.292308526428523,3.17893738493635,0.00147816018548029,0.00935949061235041
"AARD",31.8220570423869,-1.53251100710461,0.58328226733189,-2.62739173284794,0.00860422176485452,0.0368469883525417
"AARS1",1072.55684578128,-0.624640697175305,0.28664286462303,-2.17916011269558,0.0293197759101833,0.093164464043529
"AARS1P1",0,NA,NA,NA,NA,NA
"AARS2",290.277318550338,-1.22206644709288,0.396365442614183,-3.08318111446064,0.00204800470725546,0.0120921426881749
"AARSD1",156.568992679972,-2.72264518810469,0.369422032086419,-7.37001302474504,1.70611367245324e-13,2.50128698921703e-11
"AARSD1P1",67.3859518321295,0.539011013938042,0.763657468001608,0.70582824960589,0.480294951931444,0.637929725989945
"AASDH",240.643579145885,1.34916666077627,0.574096756611836,2.35006842529243,0.01876996021899,0.0667595855880204
"AASDHPPT",366.996618270101,0.820946313505816,0.505632602132068,1.62360241417224,0.1044606898919,0.227402939955197
